Hidden Layers,Units,R2_mean,Inference_Time_mean
1.0,128.0,88.73,5.38
1.0,16.0,85.98,4.84
1.0,256.0,89.98,5.37
1.0,32.0,87.07,5.01
1.0,64.0,87.75,5.23
10.0,128.0,89.55,11.97
10.0,16.0,91.16,6.21
10.0,256.0,92.87,28.19
10.0,32.0,91.28,6.4
10.0,64.0,90.67,7.68
2.0,128.0,93.71,6.09
2.0,16.0,89.47,5.18
2.0,256.0,93.36,8.66
2.0,32.0,91.74,5.21
2.0,64.0,92.56,5.89
3.0,128.0,94.38,6.65
3.0,16.0,90.86,5.29
3.0,256.0,93.7,10.36
3.0,32.0,92.96,5.87
3.0,64.0,93.42,5.91
4.0,128.0,93.64,6.82
4.0,16.0,91.63,5.21
4.0,256.0,93.97,12.28
4.0,32.0,93.5,5.58
4.0,64.0,94.0,5.9
5.0,128.0,94.0,7.62
5.0,16.0,91.99,5.78
5.0,256.0,94.0,14.66
5.0,32.0,92.97,6.07
5.0,64.0,93.02,6.4
6.0,128.0,92.67,8.39
6.0,16.0,91.66,5.82
6.0,256.0,90.84,16.93
6.0,32.0,92.48,5.9
6.0,64.0,93.68,6.34
7.0,128.0,89.85,9.13
7.0,16.0,91.09,5.88
7.0,256.0,91.16,19.73
7.0,32.0,92.27,6.13
7.0,64.0,91.41,6.45
8.0,128.0,92.59,9.85
8.0,16.0,91.24,6.22
8.0,256.0,92.02,22.48
8.0,32.0,90.62,6.4
8.0,64.0,91.75,7.2
9.0,128.0,93.24,11.9
9.0,16.0,91.25,6.11
9.0,256.0,92.3,24.84
9.0,32.0,91.98,6.4
9.0,64.0,90.96,7.03
